"prideID","tax","organismParts","experimentTypes","instruments"
"PXD016750","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD018831","Homo sapiens (human)","Hek-293 cell","Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD019749","Homo sapiens (human)","Permanent cell line cell;Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD021450","Oryza sativa (rice)","Plant cell;Aleurone layer","Shotgun proteomics","Q Exactive HF"
"PXD021451","Gossypium hirsutum","Fiber","Shotgun proteomics","Q Exactive HF"
"PXD021452","Glycine max","Leaf;Plant cell","Shotgun proteomics","TripleTOF 5600"
"PXD021454","Arabidopsis thaliana (mouse-ear cress)","Leaf;Plant cell","Shotgun proteomics","Q Exactive HF"
"PXD021899","Homo sapiens (human);Severe acute respiratory syndrome coronavirus 2","","Shotgun proteomics","timsTOF Pro"
"PXD022703","Homo sapiens (human)","Fibroblast","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD023170","Arabidopsis thaliana (mouse-ear cress)","Shoot;Root;Leaf;Cell culture","Shotgun proteomics","6550 iFunnel Q-TOF LC/MS"
"PXD023735","Mus musculus (mouse)","Liver","Shotgun proteomics","Q Exactive HF"
"PXD023747","Drosophila virilis","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD024193","Homo sapiens (human)","Cell culture;Stem cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD024794","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD025028","Arabidopsis thaliana (mouse-ear cress)","Rosette","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD025046","Mus musculus (mouse)","Lymph node;T cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD025061","Mus musculus (mouse)","Spleen;T cell","Shotgun proteomics","LTQ Orbitrap"
"PXD025193","Homo sapiens (human)","Permanent cell line cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD025258","Homo sapiens (human)","Cell culture","Chemical cross-linking coupled with mass spectrometry proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","micrOTOF II;Orbitrap Fusion;Q Exactive"
"PXD025397","Homo sapiens (human);Mus musculus (mouse);Sus scrofa domesticus (domestic pig)","Brain","Shotgun proteomics","Q Exactive"
"PXD025493","Mus musculus (mouse)","Colon","Top-down proteomics","Q Exactive HF"
"PXD025626","Homo sapiens (human)","","Shotgun proteomics","Q Exactive HF"
"PXD025736","Mus musculus (mouse)","","Shotgun proteomics","Q Exactive HF"
"PXD025738","Rattus norvegicus (rat)","Neuron;Brain","Shotgun proteomics","Q Exactive HF"
"PXD026229","Mus musculus (mouse)","Brain;Dopaminergic neuron","SWATH MS","Orbitrap Fusion"
"PXD026289","Rattus norvegicus (rat)","Primary neuron;Brain","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD026928","Mycoplasma gallisepticum s6","","Shotgun proteomics","Q Exactive Plus"
"PXD013135","Ovis aries","Amniotic fluid;Amnion","Shotgun proteomics","Orbitrap Fusion ETD"
"PXD016620","Homo sapiens (human)","B cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD019679","Rattus norvegicus (rat)","Brain","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD020686","Homo sapiens (human)","Cell culture","Chemical cross-linking coupled with mass spectrometry proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","micrOTOF II;Orbitrap Fusion;Q Exactive"
"PXD021145","Homo sapiens (human)","Permanent cell line cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD021152","Homo sapiens (human)","Permanent cell line cell","Shotgun proteomics","Q Exactive HF"
"PXD021153","Cercopithecus aethiops (green monkey) (grivet)","Permanent cell line cell","Shotgun proteomics","Q Exactive HF"
"PXD021154","Cercopithecus aethiops (green monkey) (grivet)","Permanent cell line cell","Shotgun proteomics","Q Exactive HF"
"PXD021177","Homo sapiens (human)","B cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF-X"
"PXD021402","Homo sapiens (human)","Permanent cell line cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD021403","Cercopithecus aethiops (green monkey) (grivet)","Permanent cell line cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD022027","Homo sapiens (human)","Colon;Liver;Lung;Kidney;Brain;Heart","Shotgun proteomics","Q Exactive HF"
"PXD022215","Homo sapiens (human)","Embryonic cell;Kidney","Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF-X"
"PXD022903","Homo sapiens (human)","Leukocyte;Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus;Q Exactive HF"
"PXD023070","Rattus norvegicus (rat)","Brain","Shotgun proteomics","Q Exactive"
"PXD023538","Cercopithecus aethiops (green monkey) (grivet)","Permanent cell line cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD023539","Cercopithecus aethiops (green monkey) (grivet)","Permanent cell line cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD023540","Cercopithecus aethiops (green monkey) (grivet)","Permanent cell line cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD023701","Homo sapiens (human)","Skin;Fibroblast","Shotgun proteomics","Q Exactive"
"PXD024108","Mus musculus (mouse)","Lymph node","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD024126","Mus musculus (mouse)","T-lymphocyte","Shotgun proteomics","Q Exactive HF"
"PXD024425","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD024428","Giardia lamblia atcc 50803","Permanent cell line cell;Cell culture","Shotgun proteomics","LTQ"
"PXD025108","Daphnia magna","","Shotgun proteomics","Q Exactive HF"
"PXD025466","Mus musculus (mouse)","Cell culture;Stem cell","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD025520","Mus musculus (mouse)","Cell line cell;Stem cell","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD025632","Homo sapiens (human)","Granulosa cell;Granulosa cell","Shotgun proteomics","timsTOF Pro"
"PXD025767","Homo sapiens (human)","Kidney","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD025792","Homo sapiens (human)","Lung;Cell culture","Shotgun proteomics","Orbitrap Exploris 480"
"PXD025803","Homo sapiens (human)","","Shotgun proteomics","Q Exactive HF"
"PXD025832","Homo sapiens (human)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","micrOTOF II;Orbitrap Fusion;Q Exactive"
"PXD026264","Homo sapiens (human)","","Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite"
"PXD027121","Leishmania tarentolae","","Shotgun proteomics","TripleTOF 5600;Orbitrap Fusion"
"PXD027324","Mus musculus (mouse)","Platelet;Blood platelet","Top-down proteomics","LTQ Orbitrap Velos"
"PXD027546","Arabidopsis thaliana (mouse-ear cress)","Seed","Shotgun proteomics","Q Exactive HF"
"PXD016786","Lentibacter algarum","","Shotgun proteomics","Q Exactive"
"PXD019929","Mus musculus (mouse)","Skin","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap"
"PXD019957","Mus musculus (mouse)","Skin","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap"
"PXD020490","Mus musculus (mouse)","Cerebrospinal fluid","Shotgun proteomics","Q Exactive HF"
"PXD020491","Homo sapiens (human)","Brain","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD020494","Homo sapiens (human)","Cerebrospinal fluid","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD022635","Homo sapiens (human)","Cell culture;Fibroblast;Stem cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD022717","Saccharomyces cerevisiae (baker's yeast)","","Gel-based experiment","Q Exactive HF"
"PXD022728","Mus musculus (mouse)","Liver","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD023188","Drosophila melanogaster (fruit fly)","Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD023193","Drosophila melanogaster (fruit fly)","Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD023821","Homo sapiens (human)","Podocyte (sensu diptera)","Shotgun proteomics","LTQ Orbitrap"
"PXD024168","Homo sapiens (human)","Gastric cancer cell line","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD024214","Homo sapiens (human)","Epithelial cell","Gel-based experiment","Orbitrap Fusion Lumos"
"PXD024221","Homo sapiens (human)","Epithelial cell","Gel-based experiment","Orbitrap Fusion Lumos"
"PXD024546","Homo sapiens (human)","Cell culture;Hepatocyte","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD024852","Homo sapiens (human)","","Shotgun proteomics","Q Exactive Plus"
"PXD024872","Homo sapiens (human)","Hela cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite;Q Exactive Plus"
"PXD025013","Staphylococcus aureus","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD025048","Homo sapiens (human)","Pancreas","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD025141","Homo sapiens (human);Mus musculus (mouse)","Cell culture;Early embryonic cell;Blood plasma","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD025251","Oncorhynchus mykiss (rainbow trout) (salmo gairdneri)","Whole body","Shotgun proteomics","Q Exactive HF-X"
"PXD026093","Streptomyces lincolnensis","","Shotgun proteomics","Orbitrap Fusion"
"PXD026410","Mus musculus (mouse)","Cell culture;Fibroblast","Shotgun proteomics","Q Exactive"
"PXD026743","Trypanosoma brucei","","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD026805","Homo sapiens (human)","Lung","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive HF"
"PXD026824","Homo sapiens (human)","Lung","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive HF"
"PXD026842","Homo sapiens (human)","Lung","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive HF"
"PXD026844","Homo sapiens (human)","Lung","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive HF"
"PXD026857","Homo sapiens (human)","Lung","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive HF"
"PXD026898","Homo sapiens (human)","","Shotgun proteomics","Q Exactive HF"
"PXD027125","Homo sapiens (human)","Blood plasma","Shotgun proteomics","Q Exactive HF"
"PXD027241","Homo sapiens (human);Plasmodium falciparum","Blood;Blood cell","SWATH MS;Shotgun proteomics","Q Exactive;Q Exactive HF"
"PXD027257","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD027265","Homo sapiens (human)","Epithelial cell;Hela cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD027294","Homo sapiens (human)","Saliva","Shotgun proteomics","Q Exactive"
"PXD027572","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive Plus"
"PXD005850","Homo sapiens (human)","Cell suspension culture;Leukocyte","Shotgun proteomics","Q Exactive"
"PXD008288","Fusobacterium nucleatum subsp. nucleatum atcc 25586;Porphyromonas gingivalis atcc 33277","","Shotgun proteomics","LTQ Orbitrap"
"PXD012059","Homo sapiens (human)","Brain","Shotgun proteomics","Q Exactive"
"PXD012891","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Q Exactive"
"PXD014084","Mus musculus (mouse)","Liver","Shotgun proteomics","LTQ Orbitrap"
"PXD014324","Homo sapiens (human)","Carotid atherosclerotic plaque","Shotgun proteomics","Q Exactive"
"PXD014325","Homo sapiens (human)","Monocyte","Shotgun proteomics","Q Exactive"
"PXD014438","Homo sapiens (human)","Bronchoalveolar lavage","Shotgun proteomics","Orbitrap Fusion"
"PXD014786","Homo sapiens (human)","Epithelial cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD014937","Mus musculus (mouse)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD015051","Bacteria;Bacillus subtilis","","Shotgun proteomics","Orbitrap Fusion"
"PXD015936","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD016007","Homo sapiens (human)","Permanent cell line cell","Shotgun proteomics","Q Exactive"
"PXD016438","Drosophila melanogaster (fruit fly)","Embryo;Early embryonic cell","Shotgun proteomics","Q Exactive"
"PXD016481","Homo sapiens (human)","Saliva","Shotgun proteomics","LTQ Orbitap Discovery"
"PXD016565","Mycobacterium tuberculosis h37rv","Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD016637","Homo sapiens (human)","","Shotgun proteomics","Orbitrap Fusion"
"PXD016790","Homo sapiens (human)","Permanent cell line cell;Liver","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD016799","Homo sapiens (human)","Colon","Shotgun proteomics","Q Exactive"
"PXD016875","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Orbitrap Fusion"
"PXD017106","Mus musculus (mouse)","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD017228","Trypanosoma erneyi;Trypanosoma cruzi;Trypanosoma cruzi marinkellei;Trypanosoma rangeli sc58;Trypanosoma dionisii","Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD017500","Sus scrofa domesticus (domestic pig)","Blood serum;Blood cell","All-ion fragmentation","Q Exactive HF"
"PXD017611","Homo sapiens (human)","Cell suspension culture;Blood cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD017645","Homo sapiens (human)","Epithelial cell","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap Velos"
"PXD017844","Prokaryotic environmental samples","","Top-down proteomics","Q Exactive"
"PXD017866","Mus musculus (mouse)","Fibroblast","Shotgun proteomics","Q Exactive"
"PXD018080","Mus musculus (mouse)","Cell culture;Oligodendrocyte precursor cell;Oligodendrocyte;Primary cell","Shotgun proteomics","Q Exactive HF"
"PXD018215","Homo sapiens (human)","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD018523","Carboxydothermus ferrireducens dsm 11255","","Shotgun proteomics","Q Exactive"
"PXD018586","Mus musculus (mouse)","Blood;Macrophage;Liver","Shotgun proteomics","Q Exactive"
"PXD018702","Homo sapiens (human)","Hepatocyte","Shotgun proteomics","LTQ Orbitrap"
"PXD018703","Homo sapiens (human)","Jurkat cell;T cell","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap Elite"
"PXD018710","Homo sapiens (human)","Jurkat cell;T cell","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap Elite"
"PXD018819","Mus musculus (mouse)","Macrophage;Nerve cord","Top-down proteomics","LTQ Orbitrap Velos"
"PXD018903","Homo sapiens (human)","Permanent cell line cell;Cervical cell line","Shotgun proteomics","Q Exactive"
"PXD019136","Mus musculus (mouse)","","Shotgun proteomics","Q Exactive HF"
"PXD019193","Homo sapiens (human)","Embryonic cell;Kidney","Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus"
"PXD019267","Homo sapiens (human)","Monocyte","Shotgun proteomics","Q Exactive Plus"
"PXD019284","Homo sapiens (human)","Kidney;Blood plasma","Shotgun proteomics","Q Exactive HF"
"PXD019395","Homo sapiens (human)","Cell suspension culture;Adult endothelial progenitor cell","Top-down proteomics","maXis"
"PXD019448","Mus musculus (mouse)","Liver","Shotgun proteomics","Q Exactive"
"PXD019453","Triticum aestivum (wheat)","Leaf;Plant cell","Shotgun proteomics","Q Exactive HF"
"PXD019454","Plasmodium berghei","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD019456","Homo sapiens (human)","Head and neck squamous cell carcinoma cell","Shotgun proteomics","Orbitrap Fusion"
"PXD019545","Arabidopsis thaliana (mouse-ear cress)","Leaf","Shotgun proteomics","Q Exactive HF"
"PXD019600","Homo sapiens (human)","Embryonic stem cell","SWATH MS;Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive HF"
"PXD019885","Oryza sativa (rice)","Leaf;Plant cell","Shotgun proteomics","Q Exactive"
"PXD019992","Homo sapiens (human)","Endothelial cell of umbilical vein","Shotgun proteomics","Orbitrap Fusion"
"PXD020036","Mus musculus (mouse)","Endothelium;Corneal endothelial cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD020049","Populus canescens (grey poplar) (populus tremula x populus alba)","Root","Shotgun proteomics","Q Exactive"
"PXD020135","Xanthomonas oryzae pv. oryzae kacc 10331","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD020180","Mus musculus (mouse)","Lung","Shotgun proteomics;Gel-based experiment","Q Exactive"
"PXD020258","Rattus norvegicus (rat)","Macrophage;Cell culture","Shotgun proteomics","Q Exactive"
"PXD020410","Homo sapiens (human)","Ovarian serous carcinoma cell","Shotgun proteomics","Q Exactive"
"PXD020501","Homo sapiens (human)","Basis pedunculi cerebri;Interstitial cell of pineal gland","Shotgun proteomics","Q Exactive"
"PXD020585","Homo sapiens (human)","","Top-down proteomics","Orbitrap Fusion Lumos"
"PXD020629","Homo sapiens (human)","Blood plasma","Shotgun proteomics","Q Exactive HF"
"PXD020684","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics","Orbitrap Fusion"
"PXD020969","Homo sapiens (human)","Colon","Shotgun proteomics","Q Exactive"
"PXD021261","Homo sapiens (human)","Heart","Shotgun proteomics","maXis"
"PXD021270","Homo sapiens (human)","Neuronal stem cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD021344","Homo sapiens (human)","Urine","SRM/MRM;Shotgun proteomics","Q Exactive Plus;Orbitrap Exploris 480"
"PXD021365","Saccharomyces cerevisiae (baker's yeast)","Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD021560","Trypanosoma brucei","Whole body;Blood cell","Shotgun proteomics","Q Exactive HF"
"PXD021630","Homo sapiens (human)","Brain","Shotgun proteomics","Q Exactive HF"
"PXD021784","Sarcophilus harrisii","Cell culture","Shotgun proteomics","Q Exactive"
"PXD021815","Homo sapiens (human)","Permanent cell line cell","Shotgun proteomics","Q Exactive"
"PXD021923","Homo sapiens (human)","","Shotgun proteomics;Gel-based experiment","Orbitrap Exploris 480"
"PXD022264","Equus caballus (horse)","Uterine lavage","Shotgun proteomics","Q Exactive HF"
"PXD022396","Tetrahymena thermophila cu428","","Shotgun proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD022542","Homo sapiens (human)","Epithelial cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD022773","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD022786","Escherichia coli","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD022815","Scylla paramamosain","Gill","Gel-based experiment","Orbitrap Fusion Lumos"
"PXD022904","Homo sapiens (human)","Epithelial cell;Lung","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD022955","Synechocystis sp. pcc 6803","","Shotgun proteomics","Q Exactive HF"
"PXD023199","Homo sapiens (human)","Brain","Shotgun proteomics","TripleTOF 5600"
"PXD023200","Bradyrhizobium","","Gel-based experiment","Q Exactive"
"PXD023336","Homo sapiens (human)","Cell culture;Oligodendrocyte","Shotgun proteomics","Q Exactive"
"PXD023388","Rattus norvegicus (rat)","Liver;Hepatocyte","Shotgun proteomics","Q Exactive"
"PXD023443","Chlamydomonas reinhardtii","Photosynthetic cell","Gel-based experiment","TripleTOF 6600"
"PXD023595","Nicotiana tabacum (common tobacco)","Leaf","Shotgun proteomics","Q Exactive HF"
"PXD023676","Homo sapiens (human)","Cell culture;Cell line cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD023801","Naja ashei","Venom","Shotgun proteomics","Q Exactive"
"PXD023933","Danio rerio (zebrafish) (brachydanio rerio)","Early embryonic cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD024110","Homo sapiens (human)","Blood;Blood cell","Shotgun proteomics","Q Exactive HF"
"PXD024197","Homo sapiens (human)","Blood;Blood cell","Shotgun proteomics","Q Exactive HF"
"PXD024919","Allobaculum sp.","","Shotgun proteomics","Q Exactive HF"
"PXD025001","Homo sapiens (human)","Fibroblast;Lung","Top-down proteomics","Q Exactive HF"
"PXD025171","Mus musculus (mouse)","Lung","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD025269","Homo sapiens (human)","Brain","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD026775","Homo sapiens (human)","Alveolar bone;Bone of jaw","Shotgun proteomics","maXis"
"PXD026794","Homo sapiens (human)","Hela cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD026804","Stappia stellulata dsm 5886;Pseudomonas putida (strain bird-1)","","Shotgun proteomics","Orbitrap Fusion"
"PXD027185","Sus scrofa domesticus (domestic pig)","Jejunum;Ileum","Shotgun proteomics","Q Exactive HF"
"PXD027217","Homo sapiens (human)","Lung;Epithelial cell of lung","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD027712","Homo sapiens (human)","T cell","Chemical cross-linking coupled with mass spectrometry proteomics;Gel-based experiment","LTQ Orbitrap Elite"
"PXD027759","Homo sapiens (human)","Permanent cell line cell","Shotgun proteomics","timsTOF Pro"
"PXD027815","Oryza sativa (rice)","Colon","Gel-based experiment","API 3000"
"PXD027874","Vibrio natriegens nbrc 15636 = atcc 14048 = dsm 759","Cell line cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD028638","Legionella pneumophila","","Shotgun proteomics","Orbitrap Fusion Lumos;Orbitrap Fusion"
"PXD008798","Mus musculus (mouse)","Brown adipose tissue","Shotgun proteomics","Orbitrap Fusion"
"PXD014247","Homo sapiens (human)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus"
"PXD014830","Homo sapiens (human)","Neuron;Cell culture;Fibroblast;Stem cell","Shotgun proteomics","LTQ Orbitrap Elite;Q Exactive Plus;Orbitrap Fusion;Q Exactive HF;Q Exactive"
"PXD015874","Homo sapiens (human)","Embryonic stem cell;Cell culture;Fibroblast","Shotgun proteomics","Q Exactive HF"
"PXD018453","Homo sapiens (human)","Embryonic stem cell;Fibroblast;Pluripotent stem cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD019704","Mus musculus (mouse)","Liver","Top-down proteomics","Q Exactive"
"PXD021742","Homo sapiens (human)","Hek-293 cell","Shotgun proteomics;Gel-based experiment","Orbitrap Fusion Lumos;MaxQuant"
"PXD025009","Ostreococcus tauri","Cell culture","Shotgun proteomics","Q Exactive"
"PXD025294","Homo sapiens (human);Cercopithecus aethiops (green monkey) (grivet)","Saliva","SRM/MRM","Orbitrap Fusion Lumos"
"PXD025297","Salmonella enterica subsp. enterica serovar typhimurium str. sl1344","","Shotgun proteomics","Q Exactive HF"
"PXD026057","Prevotella bryantii b14","","Shotgun proteomics","Q Exactive HF"
"PXD026085","Prevotella bryantii b14","","Shotgun proteomics","Q Exactive HF"
"PXD026776","Rattus norvegicus (rat)","Cell culture","Shotgun proteomics","TripleTOF 6600"
"PXD026787","Homo sapiens (human)","Primary cell;Stem cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD028323","Mus musculus (mouse)","Cell culture;Brain","Gel-based experiment","Orbitrap Fusion Lumos"
"PXD028526","Zymomonas mobilis subsp. mobilis zm4 = atcc 31821","","Shotgun proteomics","Orbitrap Eclipse"
"PXD028557","Homo sapiens (human)","Cell culture","Shotgun proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD029351","Mus musculus (mouse)","Primary neuron;Cell culture","Shotgun proteomics","Orbitrap Fusion"
"PXD017057","Malus domestica","Fruit;Plant cell","Shotgun proteomics","LTQ Orbitrap"
"PXD017147","Mus musculus (mouse)","Bone marrow;B cell","Shotgun proteomics","LTQ Orbitrap"
"PXD017344","Homo sapiens (human);Mus musculus (mouse)","Cell culture;Early embryonic cell","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD018227","Prunus avium","Exocarp;Plant cell;Mesocarp","Shotgun proteomics","LTQ Orbitrap"
"PXD018887","Homo sapiens (human)","Stem cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD019499","Mus musculus (mouse)","Fibroblast;Lung","Shotgun proteomics","Q Exactive Plus"
"PXD019519","Homo sapiens (human)","Epithelial cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD020202","Homo sapiens (human)","Retinal pigment epithelium cell;Retinal pigment epithelial cell","Shotgun proteomics","Q Exactive"
"PXD020577","Shewanella oneidensis (strain mr-1)","","Shotgun proteomics","Q Exactive HF"
"PXD021623","Mus musculus (mouse)","Embryonic stem cell;Cell culture","All-ion fragmentation;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD021624","Mus musculus (mouse)","Embryonic stem cell;Embryo;Cell culture","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD021631","Mus musculus (mouse)","Embryonic stem cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD021636","Mus musculus (mouse)","Embryonic stem cell;Cell culture","All-ion fragmentation","Orbitrap Fusion Lumos"
"PXD021824","Mus musculus (mouse)","Embryonic stem cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD022038","Homo sapiens (human)","Blood;Blood cell","Shotgun proteomics","Q Exactive"
"PXD022303","Homo sapiens (human);Mus musculus (mouse)","Epithelial cell;Fibroblast","Shotgun proteomics","Q Exactive HF"
"PXD022350","Homo sapiens (human)","Epithelial cell;Blood;Blood cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion;Q Exactive;Q Exactive HF"
"PXD022383","Homo sapiens (human);Mus musculus (mouse)","Epithelial cell;Fibroblast","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD022549","Homo sapiens (human)","Blood cell;Erythrocyte;Erythrocyte","Shotgun proteomics","Orbitrap Fusion"
"PXD022752","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD022759","Mus musculus (mouse)","","Shotgun proteomics","Q Exactive"
"PXD022985","Homo sapiens (human)","Skin;Fibroblast","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap;Q Exactive"
"PXD023219","Mus musculus (mouse)","Bone marrow;Bone marrow cell","Shotgun proteomics","Q Exactive HF"
"PXD023229","Sander lucioperca","Egg","Shotgun proteomics","Q Exactive HF"
"PXD023241","Homo sapiens (human)","Stem cell","Shotgun proteomics","Q Exactive"
"PXD023634","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD023690","Homo sapiens (human);Mus musculus (mouse)","Thigh muscle;Liver;Cell culture;Kidney","Shotgun proteomics","Orbitrap Exploris 480"
"PXD023903","Mus musculus (mouse)","Embryonic stem cell","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD024464","Homo sapiens (human)","Epithelial cell","Shotgun proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD024547","Severe acute respiratory syndrome coronavirus 2;Mesocricetus auratus (golden hamster)","Lung","Shotgun proteomics","Orbitrap Fusion"
